,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags
0,alykhansatchu,.@UN report predicts the world average will hit this mark in the 2030s. But the average global temperature rise ten… https://t.co/bOuVUwj001,Nairobi,https://t.co/TSDvPIA9og Banker Interest rate Macro Geopolitical Africa that kind of thing,20149,577142,433924,2009-02-19 14:43:40,0,[]
1,ThisIsAfricaTIA,The report projects an increase in mean temperatures and hot extremes across the continent. Worryingly the rate of… https://t.co/NwoxjWYuCm,"Nairobi, Kenya","This Is Africa - Life, music, sounds and colour from the streets of urban Africa.",2236,46831,25816,2009-07-01 14:19:28,0,[]
2,WillKnocker,"""As the #IPCC issues its strongest warning yet about global warming, politicians are facing a stark scientific cons… https://t.co/QOXj9DDsA4",Nairobi,"Forester naturalist, guiding in Nairobi National Park & the wilder bits of Kenya",5673,5237,44844,2009-09-14 08:29:49,0,"[{'text': 'IPCC', 'indices': [8, 13]}]"
3,wainaina_john,"Tunis (Africa) average annual temperature is 27°C but today it is 48°C and, like Donald Trump, you will do nothing… https://t.co/2In2UCzIgq",kenya,CANDY | economics research | live music | documentaries | life's student and critic,1981,1900,26138,2012-01-17 09:28:21,0,[]
4,sammy_kibet,The combined effects of human activity have already increased the global average temperature by about 1.1°C above t… https://t.co/ETeDBSjTql,"Nairobi, Kenya","Patriot, son, servant, humbled, financial interest",2034,1480,23404,2009-05-13 15:24:49,0,[]
5,DavidToovey,"An increase in the average temperature of 2+ degrees will make Rwanda's cities hotter, exposing residents to heat s… https://t.co/Qrjl7nbH2O","Kigali, Rwanda",Calling Rwanda home | #Ubumuntu | #Spruik | #GreenRwanda | #VisitRwanda,2563,29159,25660,2012-03-17 12:04:14,4,[]
6,DavidToovey,"Africa has contributed very little to warming our world, but temperature increases have been more rapid on the cont… https://t.co/SQkolfKbTY","Kigali, Rwanda",Calling Rwanda home | #Ubumuntu | #Spruik | #GreenRwanda | #VisitRwanda,2563,29159,25660,2012-03-17 12:04:14,8,[]
7,CDAfricaNews,"#Tibet township reaping rewards from tourism boom
With an altitude of about 3,380 meters and average annual tempera… https://t.co/9TJ5ghIqfI","Nairobi, Kenya",A window to watch China and Africa. Please follow us and share your opinion on Sino-Africa relations,596,1771,3649,2016-08-25 07:54:06,4,"[{'text': 'Tibet', 'indices': [0, 6]}]"
